VU- Nr.,Versicherungsunternehmen,Kategorie,value,Tabelle,year
116,UNIQA Österreich Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
121,BAWAG P.S.K. Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
123,Helvetia Versicherungen AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
126,DONAU Versicherung AG VIG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
127,SPARKASSEN Vers. AG VIG,Immaterielle Vermögensgegenstände,3638000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
128,GENERALI Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
135,GRAWE Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
140,HYPO Versicherung AG,Immaterielle Vermögensgegenstände,14000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
141,Kärntner Landes V.a.G.,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
142,ZÜRICH Versicherungs-AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
145,MERKUR Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
150,ÖBV V.a.G.,Immaterielle Vermögensgegenstände,327000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Immaterielle Vermögensgegenstände,6000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
165,ERGO Versicherung AG,Immaterielle Vermögensgegenstände,3180000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
167,VORARLBERGER V.a.G.,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
170,Allianz Leben Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
173,WIENER STÄDTISCHE Vers. AG,Immaterielle Vermögensgegenstände,26000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
176,WÜSTENROT Vers. AG,Immaterielle Vermögensgegenstände,175000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
177,APK Versicherung AG,Immaterielle Vermögensgegenstände,107000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
185,Nürnberger Versicherung AG,Immaterielle Vermögensgegenstände,127000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
195,FWU Life Insurance Austria AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
116,UNIQA Österreich Vers. AG,Grundstücke und Bauten,409748000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
121,BAWAG P.S.K. Versicherung AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
123,Helvetia Versicherungen AG,Grundstücke und Bauten,58056000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
126,DONAU Versicherung AG VIG,Grundstücke und Bauten,78910000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
127,SPARKASSEN Vers. AG VIG,Grundstücke und Bauten,53036000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
128,GENERALI Versicherung AG,Grundstücke und Bauten,308433000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Grundstücke und Bauten,102832000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
135,GRAWE Versicherung AG,Grundstücke und Bauten,159090000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
140,HYPO Versicherung AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
141,Kärntner Landes V.a.G.,Grundstücke und Bauten,136000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
142,ZÜRICH Versicherungs-AG,Grundstücke und Bauten,146744000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
145,MERKUR Versicherung AG,Grundstücke und Bauten,19683000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
150,ÖBV V.a.G.,Grundstücke und Bauten,138913000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Grundstücke und Bauten,8286000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
165,ERGO Versicherung AG,Grundstücke und Bauten,90359000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
167,VORARLBERGER V.a.G.,Grundstücke und Bauten,15836000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2017
