VU- Nr.,Versicherungsunternehmen,Kategorie,value,Tabelle,year
116,UNIQA Österreich Versicherungen AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
121,BAWAG P.S.K. Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
123,Helvetia Versicherungen AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
126,DONAU Versicherung AG VIG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
128,GENERALI Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
135,GRAWE Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
140,HYPO Versicherung AG,Immaterielle Vermögensgegenstände,12000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
141,Kärntner Landes V.a.G.,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
142,ZÜRICH Versicherungs-AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
145,MERKUR Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
150,ÖBV V.a.G.,Immaterielle Vermögensgegenstände,175000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
159,TIROLER VERSICHERUNG V.a.G. ,Immaterielle Vermögensgegenstände,2000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
165,ERGO Versicherung AG,Immaterielle Vermögensgegenstände,2439000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
167,VORARLBERGER V.a.G.,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
169,OBERÖSTERREICHISCHE Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
170,Allianz Leben Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
173,WIENER STÄDTISCHE Vers. AG,Immaterielle Vermögensgegenstände,2751000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
176,WÜSTENROT Vers. AG,Immaterielle Vermögensgegenstände,150000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
177,APK Versicherung AG,Immaterielle Vermögensgegenstände,347000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
185,Nürnberger Versicherung AG,Immaterielle Vermögensgegenstände,78000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
195,FWU Life Insurance Austria AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
116,UNIQA Österreich Versicherungen AG,Grundstücke und Bauten,382494000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
121,BAWAG P.S.K. Versicherung AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
123,Helvetia Versicherungen AG,Grundstücke und Bauten,93882000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
126,DONAU Versicherung AG VIG,Grundstücke und Bauten,97847000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
128,GENERALI Versicherung AG,Grundstücke und Bauten,292450000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,Grundstücke und Bauten,102465000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
135,GRAWE Versicherung AG,Grundstücke und Bauten,173529000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
140,HYPO Versicherung AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
141,Kärntner Landes V.a.G.,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
142,ZÜRICH Versicherungs-AG,Grundstücke und Bauten,143571000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
145,MERKUR Versicherung AG,Grundstücke und Bauten,19201000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
150,ÖBV V.a.G.,Grundstücke und Bauten,139816000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
159,TIROLER VERSICHERUNG V.a.G. ,Grundstücke und Bauten,18413000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
165,ERGO Versicherung AG,Grundstücke und Bauten,86992000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
167,VORARLBERGER V.a.G.,Grundstücke und Bauten,15316000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
169,OBERÖSTERREICHISCHE Vers. AG,Grundstücke und Bauten,74475000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
170,Allianz Leben Vers. AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
173,WIENER STÄDTISCHE Vers. AG,Grundstücke und Bauten,317153000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
176,WÜSTENROT Vers. AG,Grundstücke und Bauten,249370000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
177,APK Versicherung AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2019
