No.,Insurance undertaking,category,value,Tabelle,year
116,UNIQA Österreich Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Intangible assets,19000,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Intangible assets,337000,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Intangible assets,4000,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Intangible assets,3192000,"Table 1:  Balance sheet, assets (Life insurance)",2018
167,VORARLBERGER V.a.G.,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
170,Allianz Leben Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
173,WIENER STÄDTISCHE Vers. AG,Intangible assets,3934000,"Table 1:  Balance sheet, assets (Life insurance)",2018
176,WÜSTENROT Vers. AG,Intangible assets,135000,"Table 1:  Balance sheet, assets (Life insurance)",2018
177,APK Versicherung AG,Intangible assets,79000,"Table 1:  Balance sheet, assets (Life insurance)",2018
185,Nürnberger Versicherung AG,Intangible assets,86000,"Table 1:  Balance sheet, assets (Life insurance)",2018
195,FWU Life Insurance Austria AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
116,UNIQA Österreich Vers. AG,Land and buildings,398131000,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Land and buildings,74264000,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Land and buildings,92548000,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Land and buildings,302618000,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Land and buildings,101906000,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Land and buildings,175529000,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Land and buildings,144664000,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Land and buildings,19478000,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Land and buildings,139747000,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Land and buildings,8130000,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Land and buildings,88587000,"Table 1:  Balance sheet, assets (Life insurance)",2018
167,VORARLBERGER V.a.G.,Land and buildings,15593000,"Table 1:  Balance sheet, assets (Life insurance)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Land and buildings,65618000,"Table 1:  Balance sheet, assets (Life insurance)",2018
170,Allianz Leben Vers. AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
173,WIENER STÄDTISCHE Vers. AG,Land and buildings,311811000,"Table 1:  Balance sheet, assets (Life insurance)",2018
176,WÜSTENROT Vers. AG,Land and buildings,247487000,"Table 1:  Balance sheet, assets (Life insurance)",2018
177,APK Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
185,Nürnberger Versicherung AG,Land and buildings,6692000,"Table 1:  Balance sheet, assets (Life insurance)",2018
195,FWU Life Insurance Austria AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
116,UNIQA Österreich Vers. AG,Shares in affiliated undertakings,436041000,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Shares in affiliated undertakings,70414000,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Shares in affiliated undertakings,24266000,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Shares in affiliated undertakings,372833000,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Shares in affiliated undertakings,5181000,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Shares in affiliated undertakings,95781000,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Shares in affiliated undertakings,13424000,"Table 1:  Balance sheet, assets (Life insurance)",2018
167,VORARLBERGER V.a.G.,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
170,Allianz Leben Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
173,WIENER STÄDTISCHE Vers. AG,Shares in affiliated undertakings,537298000,"Table 1:  Balance sheet, assets (Life insurance)",2018
176,WÜSTENROT Vers. AG,Shares in affiliated undertakings,60887000,"Table 1:  Balance sheet, assets (Life insurance)",2018
177,APK Versicherung AG,Shares in affiliated undertakings,173000,"Table 1:  Balance sheet, assets (Life insurance)",2018
185,Nürnberger Versicherung AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
195,FWU Life Insurance Austria AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
116,UNIQA Österreich Vers. AG,Debt securities issued by and loans to affiliated undertakings,211043000,"Table 1:  Balance sheet, assets (Life insurance)",2018
121,BAWAG P.S.K. Versicherung AG,Debt securities issued by and loans to affiliated undertakings,31171000,"Table 1:  Balance sheet, assets (Life insurance)",2018
123,Helvetia Versicherungen AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
126,DONAU Versicherung AG VIG,Debt securities issued by and loans to affiliated undertakings,69260000,"Table 1:  Balance sheet, assets (Life insurance)",2018
128,GENERALI Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
135,GRAWE Versicherung AG,Debt securities issued by and loans to affiliated undertakings,28543000,"Table 1:  Balance sheet, assets (Life insurance)",2018
140,HYPO Versicherung AG,Debt securities issued by and loans to affiliated undertakings,5e+05,"Table 1:  Balance sheet, assets (Life insurance)",2018
141,Kärntner Landes V.a.G.,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
142,ZÜRICH Versicherungs-AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
145,MERKUR Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
150,ÖBV V.a.G.,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
165,ERGO Versicherung AG,Debt securities issued by and loans to affiliated undertakings,119154000,"Table 1:  Balance sheet, assets (Life insurance)",2018
167,VORARLBERGER V.a.G.,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
170,Allianz Leben Vers. AG,Debt securities issued by and loans to affiliated undertakings,37167000,"Table 1:  Balance sheet, assets (Life insurance)",2018
173,WIENER STÄDTISCHE Vers. AG,Debt securities issued by and loans to affiliated undertakings,464836000,"Table 1:  Balance sheet, assets (Life insurance)",2018
176,WÜSTENROT Vers. AG,Debt securities issued by and loans to affiliated undertakings,52424000,"Table 1:  Balance sheet, assets (Life insurance)",2018
177,APK Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
185,Nürnberger Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
195,FWU Life Insurance Austria AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2018
